Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Source,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
201706,23,239000,019,    ,00000 ,38705 ,2851 ,999,12620, , ,044560220  ,1,1,1,Levant town,2,2,75000,0,0,0,0,0,0,0,0,0
201706,23,240000,001,3000,38740 ,38740 ,36592 ,438,30340, ,1,04240      ,1,1,1,Lewiston,1,1,150000,0,0,0,0,0,0,0,0,0
201706,23,243000,003,    ,00000 ,39300 ,2314 ,999,99999, , ,04750      ,1,1,1,Limestone town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,267000,000,    ,  ,  ,99999 ,999,99999,2, ,04333      ,1,1,5,Maine Unorganized Territory,7,7,929602,0,0,0,0,0,0,0,0,0
201706,23,287000,021,    ,00000 ,46020 ,2340 ,999,99999, , ,04943      ,1,1,5,Milo town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,309000,003,    ,00000 ,49415 ,602 ,999,99999, , ,04762      ,1,1,5,New Sweden town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,313000,031,    ,00000 ,48750 ,1522 ,438,38860, , ,04095      ,1,1,5,Newfield town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,315000,017,    ,00000 ,49275 ,329 ,999,99999, , ,042613834  ,1,1,1,Newry town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,316000,015,    ,00000 ,49660 ,1643 ,999,99999, , ,04555      ,1,1,1,Nobleboro town,1,1,300000,0,0,0,0,0,0,0,0,0
201706,23,325000,011,    ,00000 ,54560 ,6240 ,999,99999, , ,049630187  ,1,1,1,Oakland town,0,0,0,0,0,0,0,0,0,0,0,0
201706,23,327000,031,    ,00000 ,55085 ,8624 ,438,38860, , ,04064      ,1,1,5,Old Orchard Beach town,5,5,646324,0,0,0,0,0,0,0,0,0
